StartDate,EndDate,Q1.2,Q1.3,Q1.3_4_TEXT,Q1.4,Q1.5,Q1.6,Q1.7,Q1.8,Q1.9,Q1.10,Q2.2,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7,Q3.2,Q3.3,Q3.5,Q3.6,Q3.7,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q5.7,Q6.2,Q6.3,Q6.4,Q8.3,PersonObtainerDate,survey_month,period,Q2.2_score,Q2.3_score,Q2.4_score,Q2.5_score,Q2.7_score,Q3.2_score,Q3.3_score,Q3.5_score,Q3.6_score,Q3.7_score,Q4.2_score,Q4.3_score,Q4.4_score,Q4.5_score,Q5.3_score,Q5.4_score,Q5.5_score,Q5.6_score,Q5.7_score,Q1.7_score,Q1.8_score,Q1.9_score,Q1.10_score,Curriculum Representation,Inclusive Case Studies,Inclusive Course Materials,Inclusive Teaching Activities,Responsible Spatial Practice,Overall Inclusive GIS Curriculum Score
2025-12-01 13:50:00,2025-12-01 13:59:00,Yes,Social Science,,Female,Other,Domestic,Very less,Significantly improved,Extreamly well,Moderate,Less,Very less,Less,Less,Moderate,No,No,Very less,Less,Maybe,Moderate,Maybe,Very less,Maybe,Moderate,No,Moderate,Not well at all,Slightly well,Very well,Moderately well,Extremely well,Very well,"Most of the data we worked with was based in the US, and tended to be very urban-focused.","Having more rural communities, and countries beyond the US would be very useful; including a focus on alternative means of gathering information, as is often necessary beyond the US, would also be helpful.",,Yes,,12,After,3,2,3,3,1,1,2,3,3,4,3,2,3,4,2.0,4.0,3.0,5.0,4.0,1,5,5,3,2.75,2.6,3.0,3.5,2.5,2.87
2025-12-01 13:16:00,2025-12-01 14:10:00,Yes,Other,Business Administration (Banking and Finance),Male,1st year,International,Very less,Significantly improved,Very well,Very well,Very well,Moderate,Very well,Very well,Moderate,Moderate,Maybe,Less,Very well,Maybe,Maybe,Maybe,Moderate,Moderate,Maybe,No,Maybe,Not well at all,Very well,Slightly well,Slightly well,Extremely well,Extremely well,,,,Yes,,12,After,5,4,5,5,4,3,3,5,3,3,3,4,4,3,4.0,2.0,2.0,5.0,5.0,1,5,4,4,4.75,3.4,3.5,3.25,4.5,3.88
2025-12-01 16:18:00,2025-12-01 16:25:00,Yes,Other,Business,Male,2nd year,International,Less,Significantly improved,Moderate,Very well,Moderate,Moderate,Moderate,Moderate,Moderate,Very well,Maybe,Less,Maybe,Maybe,Very well,Moderate,Moderate,Less,Moderate,No,Moderate,Moderately well,Moderately well,Moderately well,Moderately well,Moderately well,Extremely well,"More examples and datasets from diverse regions, not only U.S.-based cities.
","Rural areas, Global South communities, and low-income neighborhoods that face environmental and infrastructure challenges.","Open-source global datasets (e.g., UN SDG data, WorldPop, OpenStreetMap) and case studies focused on underserved regions.",Yes,,12,After,4,4,4,4,5,3,3,3,3,5,4,4,3,4,3.0,3.0,3.0,3.0,5.0,2,5,3,4,4.0,3.4,3.75,3.0,5.0,3.8299999999999996
2025-12-01 16:14:00,2025-12-01 16:33:00,Yes,Engineering,,Male,2nd year,International,Very well,Significantly improved,Moderate,Moderate,Very well,Very well,Very well,Very well,Moderate,Very well,Moderate,Maybe,Very well,Very well,Very well,Moderate,Very less,Very well,Very well,No,Very well,Not well at all,Very well,Very well,Very well,Very well,Very well,The current GIS curriculum is sufficient for its inclusivity.,Maybe some foreign countries such as France or Canada.,"Datasets from public transit such as MTA, MBTA, SEPTA, WMATA, etc.",Yes,,12,After,5,5,5,5,5,4,3,5,5,5,4,2,5,5,4.0,4.0,4.0,4.0,4.0,4,5,3,3,5.0,4.4,4.0,4.0,4.5,4.38
2025-12-02 15:36:00,2025-12-02 15:41:00,Yes,Other,Design,Male,1st year,International,Very less,Significantly improved,Extreamly well,Extreamly well,Very well,Very well,Very well,Very well,Moderate,Very well,Moderate,Moderate,Moderate,Very well,Very well,Very well,Moderate,Moderate,Very well,No,Maybe,Not well at all,Very well,Very well,Very well,Extremely well,Very well,Maybe Different countries in the activities would be helpful in addressing issues in different countries.,International students or international communities.,Datasets of different countries that are available in the internet.,Yes,,12,After,5,5,5,5,5,4,4,4,5,5,5,4,4,5,4.0,4.0,4.0,5.0,4.0,1,5,5,5,5.0,4.4,4.5,4.25,4.5,4.529999999999999
2025-12-01 16:20:00,2025-12-03 15:58:00,Yes,Urban Planning,,Male,2nd year,International,Very less,Somewhat improved,Very well,Very less,Very less,No,Less,Maybe,Moderate,Maybe,Less,No,Moderate,No,Maybe,No,No,Very well,Maybe,No,Very less,Not well at all,Extremely well,Extremely well,Moderately well,Moderately well,Slightly well,"I think the curriculum could include more examples that highlight diverse social and environmental issues faced by different communities, not just the major cities.","It would be great to see more case studies from underrepresented regions like Southeast Asia, Africa, and Indigenous communities, since their spatial challenges are often overlooked.","I would love to see more open-source global datasets, like Humanitarian Data Exchange or UN spatial data, added to give students a broader perspective.",Yes,,12,After,2,1,3,3,3,3,1,4,1,3,1,1,5,3,5.0,5.0,3.0,3.0,2.0,1,4,4,1,2.25,2.4,2.5,4.0,2.5,2.73
2025-12-03 09:48:00,2025-12-04 06:53:00,Yes,Engineering,,Female,1st year,International,Less,Somewhat improved,Moderate,Moderate,Maybe,Moderate,Moderate,Maybe,Moderate,Maybe,Maybe,Maybe,Maybe,Less,Less,Maybe,Maybe,Moderate,Less,No,Maybe,Not well at all,Slightly well,Moderately well,Moderately well,Moderately well,Slightly well,,,,Yes,,12,After,3,4,4,3,3,3,3,3,3,3,3,3,4,3,2.0,3.0,3.0,3.0,2.0,2,4,3,3,3.5,3.0,3.25,2.75,2.5,3.0
2025-12-05 09:59:00,2025-12-05 10:14:00,Yes,Other,,Female,1st year,Domestic,Very less,Significantly improved,Very well,Moderate,Less,Maybe,Moderate,Less,Moderate,Maybe,Maybe,Less,Maybe,Moderate,Very well,Maybe,Maybe,Moderate,Moderate,No,Maybe,Not well at all,Slightly well,Very well,Moderately well,Very well,Very well,Using data from diverse industries/looking at case studies of how employers use GIS. Making maps of regions outside the US.,"Women, youth, low-income neighborhoods, other countries",,Yes,,12,After,3,3,4,3,3,3,3,3,4,5,3,3,4,4,2.0,4.0,3.0,4.0,4.0,1,5,4,3,3.25,3.6,3.5,3.25,3.5,3.4200000000000004
2025-12-08 13:10:00,2025-12-08 13:19:00,Yes,Engineering,,Female,1st year,International,Less,Significantly improved,Very well,Very well,Very well,Very well,Very well,Very well,Moderate,Maybe,Moderate,Moderate,Very well,Very well,Very well,Moderate,Moderate,Very well,Moderate,No,Maybe,Not well at all,Very well,Moderately well,Extremely well,Extremely well,Extremely well,,,,Yes,,12,After,5,5,5,5,3,4,4,5,5,5,4,4,5,4,4.0,3.0,5.0,5.0,5.0,2,5,4,4,5.0,4.6,4.25,4.25,4.0,4.42
2025-12-08 13:23:00,2025-12-08 13:31:00,Yes,Other,Physics,Male,1st year,Domestic,Very less,Significantly improved,Very well,Moderate,Moderate,Very well,Moderate,Very less,Moderate,Moderate,Moderate,Moderate,Moderate,Very well,Moderate,Maybe,Maybe,Moderate,Very well,No,Moderate,Not well at all,Very well,Moderately well,Very well,Moderately well,Very well,,"I think looking at more international cities would be helpful, though I understand that is difficult with language barriers",,Yes,,12,After,4,5,4,2,4,4,4,4,5,4,3,3,4,5,4.0,3.0,4.0,3.0,4.0,1,5,4,3,3.75,4.2,3.75,3.5,4.0,3.84
2025-12-08 16:09:00,2025-12-08 16:14:00,Yes,Engineering,,Female,1st year,Domestic,Very less,Somewhat improved,Extreamly well,Moderate,Moderate,Maybe,Moderate,Maybe,Moderate,Very well,Maybe,Moderate,Moderate,Very well,Very well,Less,Moderate,Moderate,Moderate,No,Very well,Slightly well,Moderately well,Moderately well,Moderately well,Very well,Very well,"I honestly think you did a great job! I enjoyed using GIS to explore data around the US, but I wonder if you could include more parts of rural America or international countries. I am aware that it could be hard to get data from those parts, so maybe that's why it wasn't as prevalent. ","Sunbelt region, or maybe parts of the country that lean more conservative or Republican?",,Yes,,12,After,4,3,4,3,5,3,4,4,5,5,3,4,4,4,3.0,3.0,3.0,4.0,4.0,1,4,5,3,3.5,4.2,3.75,3.25,4.5,3.84
2025-12-08 16:10:00,2025-12-08 16:19:00,Yes,Social Science,,Female,1st year,International,Very less,Significantly improved,Very well,Extreamly well,Very well,Very well,Moderate,Maybe,Moderate,Very well,Moderate,Very well,Very well,Very well,Very well,Very well,Very well,Moderate,Moderate,No,Very well,Very well,Very well,Extremely well,Extremely well,Extremely well,Extremely well,"Id have loved to map some other country to learn about other borders, or see how different countries represented disputed borders in their shapefiles",Pacific islands. How do those differ in mapping? what about water mapping?,no,Yes,,12,After,5,5,4,3,5,4,5,5,5,5,5,5,4,4,4.0,5.0,5.0,5.0,5.0,1,5,4,5,4.25,4.8,4.5,4.75,5.0,4.66
2025-12-08 16:10:00,2025-12-08 16:22:00,Yes,Engineering,,Male,1st year,International,Very less,Somewhat improved,Very well,Moderate,Less,Less,Less,Maybe,Moderate,Maybe,Maybe,Less,Moderate,Less,Maybe,Maybe,Less,Maybe,Less,No,Moderate,Slightly well,Slightly well,Slightly well,Slightly well,Slightly well,Moderately well,The assignment contents can try include more diversity.,all groups under marginalization,,Yes,,12,After,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2.0,2.0,2.0,2.0,3.0,1,4,4,3,3.0,3.2,3.0,2.0,3.0,2.84
2025-12-08 16:07:00,2025-12-08 16:30:00,Yes,Social Science,,Female,1st year,Domestic,Less,Significantly improved,Extreamly well,Moderate,Very well,Less,Very well,Very well,Moderate,Very well,Very well,Less,Very well,Very well,Very well,Very well,Less,Very well,Very well,No,Very well,Not well at all,Moderately well,Moderately well,Very well,Very well,Extremely well,"gender inclusivity and other countries, other cities","women's issues, underdeveloped countries","stop and frisk, mayor's office to ENDGBV datasets",Yes,,12,After,5,3,5,5,5,5,3,5,5,5,5,3,5,5,3.0,3.0,4.0,4.0,5.0,2,5,5,3,4.5,4.6,4.5,3.5,5.0,4.42
2025-12-08 17:08:00,2025-12-08 17:32:00,Yes,Engineering,,Male,2nd year,International,Very well,Significantly improved,Very well,Very well,Moderate,Maybe,Moderate,Very well,Moderate,Moderate,Maybe,Maybe,Very well,Very well,Very well,Moderate,Maybe,Very well,Very well,No,Very well,Not well at all,Moderately well,Moderately well,Very well,Very well,Extremely well,,,,Yes,,12,After,4,3,4,5,4,3,3,5,5,5,4,3,5,5,3.0,3.0,4.0,4.0,5.0,4,5,4,4,4.0,4.2,4.25,3.5,4.5,4.09
2025-12-09 16:07:00,2025-12-09 16:11:00,Yes,Urban Planning,,Female,1st year,International,Moderate,Significantly improved,Very well,Very well,Moderate,Moderate,Moderate,Very well,Moderate,Moderate,Moderate,Maybe,Very well,Very well,Maybe,Moderate,Maybe,Moderate,Moderate,No,Maybe,Moderately well,Very well,Very well,Very well,Very well,Very well,,Maybe use datasets other than cities based in US. Some global datasets as well.,,Yes,,12,After,4,4,4,5,4,4,3,5,5,3,4,3,4,4,4.0,4.0,4.0,4.0,4.0,3,5,4,4,4.25,4.0,3.75,4.0,4.0,4.0
2025-12-09 16:26:00,2025-12-09 16:47:00,Yes,Engineering,,Male,1st year,Domestic,Less,Significantly improved,Moderate,Less,Very well,Maybe,Very well,Very well,Moderate,Very well,Very well,Moderate,Very well,Very well,Maybe,Very well,Moderate,Very well,Very well,No,Moderate,Not well at all,Very well,Moderately well,Extremely well,Very well,Very well,The examples and case studies in this course could represent a diverse range of communities from other countries as well.,"I think it would be helpful to include at least one project at a country-wide or larger regional scale (e.g., U.S. or global), but given the limited time in the course, I don’t feel that any specific region or community is unrepresented.","I would really like to work more with raster data and real-world imagery, such as drone photos or satellite images. Hands-on projects with these kinds of datasets would help me make the most out of learning GIS.",Yes,,12,After,5,3,5,5,5,5,4,5,5,3,5,4,5,5,4.0,3.0,5.0,4.0,4.0,2,5,3,2,4.5,4.4,4.75,4.0,4.5,4.43
2025-12-10 07:39:00,2025-12-10 07:51:00,Yes,Engineering,,Male,1st year,International,Very less,Significantly improved,Very well,Very well,Moderate,Moderate,Moderate,Very well,Moderate,Very well,Very well,Less,Maybe,Moderate,Very well,Maybe,Less,Very well,Very well,No,Less,Not well at all,Moderately well,Moderately well,Moderately well,Very well,Extremely well,,,,Yes,,12,After,4,4,4,5,5,5,3,3,4,5,3,3,5,5,3.0,3.0,3.0,4.0,5.0,1,5,4,4,4.25,4.0,4.0,3.25,5.0,4.1
2025-12-11 12:25:00,2025-12-11 12:39:00,Yes,Other,Biology,Male,2nd year,Domestic,Very less,Significantly improved,Very well,Very well,Very well,Maybe,Moderate,Moderate,Moderate,Very well,Moderate,Maybe,Moderate,Moderate,Less,Maybe,Maybe,Moderate,Moderate,No,Moderate,Not well at all,Moderately well,Moderately well,Moderately well,Moderately well,Very well,,Maybe more about the Spanish and African communities in NYC.,,Yes,,12,After,5,3,4,4,5,4,3,4,4,3,3,3,4,4,3.0,3.0,3.0,3.0,4.0,1,5,4,4,4.0,3.6,3.5,3.0,4.5,3.72
2025-12-15 20:25:00,2025-12-15 21:18:00,Yes,Engineering,,Male,1st year,International,Moderate,Somewhat improved,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Maybe,Maybe,Maybe,Moderate,Moderate,Moderate,Maybe,Very less,Maybe,Moderate,No,Moderate,Slightly well,Moderately well,Moderately well,Moderately well,Moderately well,Very well,Diverse tool usage such as using QGIS,Developing countries,Datasets from Google earth engine,Yes,,12,After,4,4,4,4,3,3,3,4,4,4,3,2,3,4,3.0,3.0,3.0,3.0,4.0,3,4,3,3,4.0,3.6,3.0,3.0,3.5,3.4200000000000004
